"MSA.Code","MSA.Title","MSA.Name","date","congestion","congestion_19pct","onsite_pct","S","iv","net_mig_rate","vrm","vrm_19pct","covid_cases","vaccine","reopened","pop_million","transitcommute_pct","noveh_pct"
"C2814","Kansas City, MO-KS","Kansas City MO",2020-04-01,54,41.2213740458015,54.6593117541441,0.0283749635247015,40.608614394144,0.0916381034449496,560938,67.98935321767,0.00032957007822115,0,0,1.244024,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2020-05-01,82,60.7407407407407,65.1307447697097,0.0403409751986673,39.4207696051599,0.315810536178789,435644,52.5946995306071,0.000395643306463554,0,0,1.244417,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2020-06-01,90,61.2244897959184,72.7753972626049,0.0304370234750193,38.3235835269973,-0.057058085130663,492702,64.1607567474652,0.000822333069571129,0,0,1.244346,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2020-07-01,82,55.0335570469799,69.411334920972,0.0186090662112666,38.2604561666612,0.505231028735517,502109,62.3305058971472,0.0027400488145826,0,1,1.244975,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2020-08-01,88,58.6666666666667,72.7072326388998,0.0345452043513594,37.9660986673348,0.0931658810480519,639924,78.4684090357294,0.00288652440490311,0,1,1.245091,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2020-09-01,82,56.9444444444444,72.7520670910509,0.0391520873340089,38.0149946332459,-0.146998814370219,634316,82.5814011014047,0.00295817007408162,0,1,1.244908,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2020-10-01,90,60,76.6050369115235,0.0343290325628394,36.7097177872451,-0.336684374068393,604618,72.0074792177786,0.00467846219735675,0,1,1.244489,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2020-11-01,77,54.2253521126761,72.4603290377428,0.0383406733809825,36.6272115693137,-0.0900048779429385,555535,72.1184615524419,0.0105175842354054,0,1,1.244377,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2020-12-01,76,61.7886178861789,70.069833062053,0.0192132304567485,36.5413226679045,-0.320745222182386,584142,73.6711207521708,0.00990939211037891,0,1,1.243978,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-01-01,77,58.3333333333333,73.5595589986862,0.0105986885272805,36.8240006331984,-0.183316582914573,535489,65.6136008577118,0.00757374329515946,0,1,1.24375,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-02-01,156,73.9336492890995,72.941496543569,0.059690288630269,37.0752464212984,-0.0627175010774545,509540,67.1280285933731,0.00270104172802986,0,1,1.243672,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-03-01,61,53.5087719298246,76.4918421503117,0.0370940806817754,36.7508287129999,-0.0458341206884767,573382,70.331700304445,0.00955195982747723,0.151,1,1.243615,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-04-01,65,49.618320610687,76.9863462824214,0.0302771239068321,37.7842713395002,-0.0522697117124362,568488,68.9044625823296,0.000537342518838831,0.274,1,1.24355,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-05-01,69,51.1111111111111,76.5118147611615,0.0408654339599734,37.5187918343463,-0.0667488562221595,567398,68.5011783113446,0.00132783306877507,0.344,1,1.243467,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-06-01,87,59.1836734693878,74.1168967357014,0.0326199586581504,37.3090953901792,-0.246146717923101,570179,74.2499850244427,0.00152525669051141,0.391,1,1.243161,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-07-01,74,49.6644295302013,73.1056117207803,0.042499218433823,36.9483426238735,0.139946193101618,582475,72.3069322048416,0.0054140244009228,0.414,1,1.243335,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-08-01,78,52,75.1655396851362,0.03641530390158,36.8671674309469,-0.290432462786832,570118,69.9086960680206,0.00952648581176931,0.451,1,1.242974,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-09-01,72,50,77.0756402412919,0.0436908262278631,36.9436933286735,-0.298566798889106,571107,74.3522412154509,0.00652373621019884,0.479,1,1.242603,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-10-01,88,58.6666666666667,81.9258504841078,0.0323080572098556,36.9592761177593,-0.474229759084841,528368,62.9264225996237,0.00403603936372277,0.498,1,1.242014,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-11-01,76,53.5211267605634,77.0189670306211,0.0416311869193289,36.9619414948769,-0.321355653725189,542671,70.4484823622728,0.00573324566026261,0.509,1,1.241615,1.1954673320513,6.68020610623436
"C2814","Kansas City, MO-KS","Kansas City MO",2021-12-01,59,47.9674796747967,73.9529486186099,0.00463556855956399,36.850005901755,-0.511692372157488,538344,67.8951450678202,0.0123740031301197,0.531,1,1.24098,1.1954673320513,6.68020610623436
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2020-04-01,27,14.2857142857143,44,0.0085853991357744,31.2781648949851,0.228912154502885,1206090,76.3640991418227,0.00139532838672222,0,0,2.184244,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2020-05-01,45,23.936170212766,52.4193548387097,0.0201206248764089,31.3033679986848,-0.0100722362470481,1213309,74.6283831785071,0.00120150785197495,0,0,2.184222,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2020-06-01,82,44.5652173913043,63.2,0.00409971840318039,29.4197898996251,0.200946508405652,1178610,75.227624503343,0.00378578164860517,0,0,2.184661,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2020-07-01,88,56.4102564102564,61.8709677419355,0.0064907517393518,28.8567075510393,0.348216500062688,1262388,77.3009087719363,0.0117324235732431,0,0,2.185422,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2020-08-01,94,48.9583333333333,64.3225806451613,0.0044731610337972,28.910001754487,0.314714264149562,1313721,80.3450433276517,0.00815437087738787,0,0,2.18611,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2020-09-01,113,55.3921568627451,65.1333333333333,0.0191588024731532,28.7890288893843,0.256097170583581,1285145,82.1566336074136,0.00347979645254582,0,0,2.18667,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2020-10-01,136,64.4549763033175,68.4516129032258,0.00395287552317468,28.7112280538701,0.313620645199044,1387985,84.5645487932972,0.0068133301867407,0,0,2.187356,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2020-11-01,133,64.2512077294686,65.8666666666667,0.0253557246856387,28.5999476324245,0.308496543239104,1334534,85.8481802836617,0.0152472154001183,0,0,2.188031,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2020-12-01,95,43.1818181818182,63.1935483870968,0.0271135781383433,28.7912638991985,0.228006927024076,1364357,85.6190160029269,0.0240866880288003,0,0,2.18853,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2021-01-01,117,58.2089552238806,64.741935483871,0.0126550452564532,28.9420467579764,0.14710907818345,1382726,86.0589810663844,0.0197750784479641,0,0,2.188852,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2021-02-01,161,79.7029702970297,67.6428571428571,0.0110847189231987,28.8403345956811,0.30737260364691,1252442,85.8151445906548,0.00564995831961186,0,0,2.189525,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2021-03-01,211,106.565656565657,69.0967741935484,0.00784238714613618,28.6997739094768,0.174436631327266,1382075,85.5995545596321,0.00352107304790867,0.16,0,2.189907,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2021-04-01,203,107.407407407407,70.4,0.0020889286780066,28.419747250662,0.0351600742288528,1333468,84.4290911577478,0.00421425065481729,0.278,0,2.189984,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2021-05-01,195,103.723404255319,71.741935483871,0.0177880321524264,28.118681982569,-0.0484045229916918,1365167,83.9688867210686,0.00317201662190549,0.369,1,2.189878,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2021-06-01,218,118.478260869565,73.1666666666667,0.00572795823665893,27.7828914579319,-0.0529737934990195,1323646,84.4848968389475,0.00398094815928818,0.419,1,2.189762,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2021-07-01,228,146.153846153846,71.4516129032258,0.0217111245832071,27.7862718269109,0.0415553007439312,1353752,82.8954805114008,0.00911494903686449,0.444,1,2.189853,3.04581672337174,7.98503385552504
"C2982","Las Vegas-Henderson-Paradise, NV","Las Vegas NV",2021-08-01,209,108.854166666667,74.5806451612903,0.0068046498440601,27.758165574922,0.0424668005512465,1502236,91.8743146439451,0.0107233902800796,0.478,1,2.189946,3.04581672337174,7.98503385552504
